id,visitor_id,session_id,chat_id,assistant_message_count,chat_history_length,user_message_count,geo_country_code,created_at
64d9b1bc-3e36-41ca-baf1-fb23698b38e1,36d4e150-960d-4f0c-bc20-5680c84db9ec,90cc1a0b-9815-4933-b313-c47c5ca2f03a,2,1,2,1,NL,2026-01-28 15:33:29
b7552b37-5e54-4d54-b6da-0a4c955edcef,36d4e150-960d-4f0c-bc20-5680c84db9ec,d00eb058-900f-40a4-bc47-fd7dffe93912,4,1,2,1,NL,2026-01-28 18:04:51
edbdd380-465c-4d91-b5c8-174a5e8e0c34,36d4e150-960d-4f0c-bc20-5680c84db9ec,5de6f18f-6b09-44e1-9586-ff0b7ae9f10e,6,1,2,1,NL,2026-01-28 19:07:16
79d2d433-07d6-473c-beec-f92a06a12033,36d4e150-960d-4f0c-bc20-5680c84db9ec,d393bbbb-2d2a-464d-89f9-e709b7b44bc7,2,1,2,1,NL,2026-01-28 21:15:44
5a446a0f-fc1f-4db0-a841-f116b046013a,36d4e150-960d-4f0c-bc20-5680c84db9ec,6f70efe5-3d2a-4061-bfbe-1c3b37dbd6bd,1,1,2,1,NL,2026-01-29 12:20:40
1a576b1b-5d3e-4af4-8927-b49a530e53e4,36d4e150-960d-4f0c-bc20-5680c84db9ec,6f70efe5-3d2a-4061-bfbe-1c3b37dbd6bd,2,1,2,1,NL,2026-01-29 12:21:27
dcf76c07-8d39-4def-90bf-c745d819f129,a1013dca-7d78-498e-ae0c-0478ca48df3a,09e8a012-9f95-4399-9acc-8185f3f5d1a2,1,1,2,1,IT,2026-01-29 14:41:01
94d0cebe-8663-4515-9773-8e92b806eea3,a1013dca-7d78-498e-ae0c-0478ca48df3a,09e8a012-9f95-4399-9acc-8185f3f5d1a2,1,2,4,2,IT,2026-01-29 14:49:46
7d4f5ed3-146e-4ac8-9c59-51a40ca2cb6a,a1013dca-7d78-498e-ae0c-0478ca48df3a,09e8a012-9f95-4399-9acc-8185f3f5d1a2,1,3,6,3,IT,2026-01-29 14:52:30
ee2d6c31-78df-4d32-a033-6b57339d81d6,a1013dca-7d78-498e-ae0c-0478ca48df3a,09e8a012-9f95-4399-9acc-8185f3f5d1a2,1,5,10,5,IT,2026-01-29 15:06:13
491419e0-cecf-48a1-b2b9-a6183412ab2e,739b9f1c-9320-4579-8db2-ab0e2108ad7e,b0377583-8c04-4b2c-a649-0d175b2a9a4c,1,3,6,3,US,2026-01-29 20:45:17
5b52f67d-0d4c-4df7-9783-b8b180352110,e99567ac-0511-498f-ba1f-5650e51bf397,975e0c2b-2bfc-44f4-b1ed-0534a25ed1bd,2,1,2,1,US,2026-01-29 21:04:52
02f6579d-c308-49e3-83f6-497014441634,64709742-f0be-494e-9ea0-d2dd34c5d5fd,9b9398b7-e490-4874-9977-45b7628e982f,1,1,2,1,US,2026-02-06 01:20:33
5598d6ad-0063-43a4-af84-cd8002a0941d,b3bc63af-d1ac-46e0-9d58-82051ed194ee,b81d9b4b-f08a-4140-8824-de797b4bbfb3,8,1,2,1,US,2026-02-06 02:21:32
86b2bf09-f5e8-4829-8d42-e5be34f7514d,a5283748-dca4-4f6c-94ff-39f443262505,191d7ca9-d79b-4318-8b41-e3793942d8d2,2,1,2,1,US,2026-02-06 22:53:34
96bbab85-d072-4f1f-a8a6-2a7357b4f252,e895bfd6-ae03-47e2-8153-6ab2d8edbb2c,a104b1c8-daf2-4866-9a24-c57282ceeb76,1,2,4,2,SY,2026-02-23 07:21:02
e60d2c0f-e896-43dd-9aa4-db8436cf5d2a,e895bfd6-ae03-47e2-8153-6ab2d8edbb2c,a104b1c8-daf2-4866-9a24-c57282ceeb76,1,3,7,4,SY,2026-02-23 07:22:44
8a99876a-b0a4-4543-bb36-99d60667bcf4,8877513f-9479-4abe-8aa2-b2d6491d0dc6,a702677e-3966-4516-a7e7-7d897498db65,3,1,2,1,IN,2026-01-30 13:59:45
0a88d33b-2e7b-4ef2-b159-f2cddbb4d195,8877513f-9479-4abe-8aa2-b2d6491d0dc6,a702677e-3966-4516-a7e7-7d897498db65,3,2,3,1,IN,2026-01-30 14:00:25
75e853d2-bb6c-4f7c-a010-9506c707480d,8ba7eab1-6e7d-44e7-82ae-0ab55d4f561d,d68ca078-e009-4b47-acd2-1a8f4fd02165,1,1,2,1,IT,2026-01-30 23:54:50
8f78c6c9-e1e1-4a82-9eab-28bccc4cc61d,anon_2b5c73d7-3bfd-4db0-aed8-85a05911d31e,6e878887-aebf-4364-b1a4-ea2b33dd0f40,1,1,2,1,US,2026-01-31 05:20:52
30186d4d-0583-4613-b62a-29e5ea13a35f,739b9f1c-9320-4579-8db2-ab0e2108ad7e,24ec4397-1c00-465a-bf84-8f9e41758fc9,3,2,4,2,US,2026-01-31 11:26:14
27215ab1-500c-4806-bb06-f977b229b53c,b3bc63af-d1ac-46e0-9d58-82051ed194ee,c4ba47c3-23e5-4332-a7db-93c3f2156796,2,2,3,1,US,2026-01-31 20:10:00
fae4ddf4-19ad-4969-81d5-b57927c16db5,anon_ecf002a7-3777-43ba-aa33-ee49f440057e,70b84e86-fb8e-4447-9344-f588d0f5e97c,6,1,2,1,FR,2026-01-31 21:43:06
2b0234a2-17a3-4588-a755-ba86e5ca479b,b7db306a-9075-4ee7-a495-692d4f58f0c2,02e82f53-462d-4b38-9f4a-dc2a3a9d5d6f,36,1,2,1,FR,2026-02-07 13:33:03
9971891e-fda7-4121-a155-b8912c2612eb,anon_5141f9c8-7e92-4571-889c-f7ebbe13a9ca,e1826264-d6ef-4644-a1f4-f0dec6ef7325,1,1,2,1,EG,2026-02-07 14:51:04
06d1a40c-fa09-44f8-92d1-9b75f6153a11,anon_5141f9c8-7e92-4571-889c-f7ebbe13a9ca,e1826264-d6ef-4644-a1f4-f0dec6ef7325,1,3,6,3,EG,2026-02-07 14:52:05
79726e51-d930-45dc-8a6d-0ff8d61eb30e,28490e12-e225-4ff3-b93e-91b005b46ca7,68e6019f-111b-428c-99ed-0ff428e0e3d7,11,5,9,4,US,2026-02-24 18:02:02
ef83a496-2f74-400f-8dc5-bece249089d5,13343401-a266-4438-bc1e-e51d2a4f8cf2,4b7c6b5b-9a27-42b6-b36d-5b0b0cb2940a,2,1,2,1,IT,2026-02-01 12:33:12
a2a66f88-b095-42ec-85cd-3ecabaa218a6,04d9ad82-678c-48e1-8ec0-2908b07611c9,97d64b80-596e-4bd6-9374-9a7357108cd3,4,1,2,1,DE,2026-02-01 14:13:23
d505128a-02f5-42d4-9154-a853660ace2d,7a820d07-6006-4a1a-bc82-066b14740426,308ae331-4b8c-4944-9b31-1d128b1e33d9,1,3,5,2,US,2026-02-01 20:48:51
