"id","session_id","slot_id","visitor_id","publisher_id","ad_unit_id","slot_name","slot_key","slot_data","theme","ad_bg_color","payout_eligible","source_url","request_headers","client_ip","device_type","os_name","browser","geo_country_code","geo_country_name","geo_region","geo_city","created_at"
"9ab327e9-41c4-4157-b0b0-3e0ad3e7acb4","f44c9d95-30fb-4047-ab5f-f0a15f1e3527","04ac3e76-0a9c-4896-b9ec-03ed665b6d62-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""10"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""1968"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 13:46:35"
"b068525c-7d0a-4b4d-9870-def34fe2354c","3fc88e37-f696-4469-84fb-54fb95a34e09","d58dc4f5-8733-4f7b-912b-50a03931c430-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""1"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""1708"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 13:55:47"
"ecefaca1-7481-4c54-812c-83eae7832b2f","96b754c8-36ba-46c6-a554-83a96b80b87d","5b4ec67f-5431-4624-93ce-2a36765991cf-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""2"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""2083"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 14:16:41"
"4400ffd0-eaeb-4a04-8204-223dc988fc51","96b754c8-36ba-46c6-a554-83a96b80b87d","7ebf50a7-08d0-41a8-95af-c05e4db60b5d-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""3"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""1521"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 14:21:01"
"e2e87d4d-9577-4eb3-8948-b62bc9408c88","1221d5d3-dadb-4e91-8010-0da56d5cc667","b034df46-d5e9-4fa7-be32-e6c0ba759e64-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""7"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""1404"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 14:43:18"
"0ce40420-7ca3-4e48-9c2e-07c03bb0da9e","76bfd653-cf3f-4555-81d8-9fbe118bf1bf","38a1554e-c682-4dba-8b4c-3b76f90fed04-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""1"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""1117"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 15:20:21"
"1ed5e655-8f13-4733-ba4a-041b3d7acc64","76bfd653-cf3f-4555-81d8-9fbe118bf1bf","6d9b645f-45d0-4c8a-af12-e3c6b41c332e-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""2"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""1110"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 15:26:02"
"b58779a6-62d8-41da-bd27-fedcdfd3f673","90cc1a0b-9815-4933-b313-c47c5ca2f03a","43fbd5de-faf9-4c0a-b6fd-3459b2d2bc1a-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""1"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""466"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 15:32:54"
"64d9b1bc-3e36-41ca-baf1-fb23698b38e1","90cc1a0b-9815-4933-b313-c47c5ca2f03a","52d302ba-90a7-4b3e-bc30-65d6aee0ef1a-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""2"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""848"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 15:33:29"
"b7552b37-5e54-4d54-b6da-0a4c955edcef","d00eb058-900f-40a4-bc47-fd7dffe93912","d6c6b5d2-bb25-4781-8d69-4fa9096e9858-0","36d4e150-960d-4f0c-bc20-5680c84db9ec","6978d5c12de038ea7a6a3303","6978dedc5fcdebaf2551d57f","null","null","{""assistant_message_count"": ""1"", ""chat_history_length"": ""2"", ""chat_id"": ""4"", ""opportunity_index"": ""0"", ""user_message_count"": ""1""}","light","null","true","mobile_app","{""accept-encoding"":""gzip"",""connection"":""Keep-Alive"",""content-length"":""628"",""content-type"":""application\/json; charset=utf-8"",""host"":""api.withgrowl.com"",""user-agent"":""okhttp\/5.2.1""}","82.168.55.77","unknown","unknown","okhttp","NL","The Netherlands","Overijssel","Enschede","2026-01-28 18:04:51"
